round,variant,count,shape,repeat,link_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
1,base,4096,0,5,16504736,447768,81920,142571520,0
1,base,4096,0,6,29240506,447768,81920,142571520,0
1,base,4096,0,7,11938635,447768,81920,142571520,0
1,patch,8192,0,0,6318130,894232,163840,570355712,0
1,patch,8192,0,1,724467,894232,163840,570355712,0
1,patch,8192,0,2,397836,894232,163840,570355712,0
1,patch,8192,0,3,422870,894232,163840,570355712,0
1,patch,8192,0,4,814631,894232,163840,570355712,0
1,patch,8192,0,5,406933,894232,163840,570355712,0
1,patch,8192,0,6,544709,894232,163840,570355712,0
1,patch,8192,0,7,4463681,894232,163840,570355712,0
1,base,8192,0,0,82610292,894232,163840,570355712,0
1,base,8192,0,1,93999950,894232,163840,570355712,0
1,base,8192,0,2,60598539,894232,163840,570355712,0
1,base,8192,0,3,77819229,894232,163840,570355712,0
1,base,8192,0,4,69575882,894232,163840,570355712,0
1,base,8192,0,5,62396136,894232,163840,570355712,0
1,base,8192,0,6,85715604,894232,163840,570355712,0
1,base,8192,0,7,76370372,894232,163840,570355712,0
1,patch,16384,0,0,6063921,1787160,327680,2281562112,0
1,patch,16384,0,1,875139,1787160,327680,2281562112,0
1,patch,16384,0,2,855752,1787160,327680,2281562112,0
1,patch,16384,0,3,833601,1787160,327680,2281562112,0
1,patch,16384,0,4,3526610,1787160,327680,2281562112,0
1,patch,16384,0,5,1015528,1787160,327680,2281562112,0
1,patch,16384,0,6,825601,1787160,327680,2281562112,0
1,patch,16384,0,7,1123603,1787160,327680,2281562112,0
1,base,16384,0,0,284307774,1787160,327680,2281562112,0
1,base,16384,0,1,330889299,1787160,327680,2281562112,0
1,base,16384,0,2,325909924,1787160,327680,2281562112,0
1,base,16384,0,3,333835341,1787160,327680,2281562112,0
1,base,16384,0,4,426247669,1787160,327680,2281562112,0
1,base,16384,0,5,543115137,1787160,327680,2281562112,0
1,base,16384,0,6,503501376,1787160,327680,2281562112,0
1,base,16384,0,7,415659303,1787160,327680,2281562112,0
1,patch,32768,0,0,13466286,3573016,655360,9126526976,0
1,patch,32768,0,1,25117979,3573016,655360,9126526976,0
1,patch,32768,0,2,2769918,3573016,655360,9126526976,0
1,patch,32768,0,3,1922197,3573016,655360,9126526976,0
1,patch,32768,0,4,3086327,3573016,655360,9126526976,0
1,patch,32768,0,5,22320239,3573016,655360,9126526976,0
1,patch,32768,0,6,1916248,3573016,655360,9126526976,0
1,patch,32768,0,7,10192208,3573016,655360,9126526976,0
1,base,32768,0,0,1465595672,3573016,655360,9126526976,0
1,base,32768,0,1,1271014603,3573016,655360,9126526976,0
1,base,32768,0,2,1093973523,3573016,655360,9126526976,0
1,base,32768,0,3,1022048375,3573016,655360,9126526976,0
1,base,32768,0,4,749298260,3573016,655360,9126526976,0
1,base,32768,0,5,1139512327,3573016,655360,9126526976,0
