round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256
0,0,1,1,17,0.052503579001495382,0.040196999999999997,0.012123,41508864,NA,NA,NA,NA,NA,NA,NA,NA,1009296,235398,3329,64,46bbbc4439d5a1911d5728e76ba413a577b270d33a6d6f7287d5e66409ad1e95
0,0,0,0,8,0.021064086999103893,0.016704999999999998,0.004176,31723520,NA,NA,NA,NA,NA,NA,NA,NA,98128,39898,2049,512,d54e0d3e437f1319c5e0037da4750229225984f79f1ebd587b1323affae587ab
0,0,1,1,8,0.021015286001784261,0.010456,0.010381,31854592,NA,NA,NA,NA,NA,NA,NA,NA,98128,39898,2049,512,d54e0d3e437f1319c5e0037da4750229225984f79f1ebd587b1323affae587ab
0,0,0,0,7,0.021840073997736908,0.013030999999999999,0.0086189999999999999,31457280,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,0,1,1,7,0.022782264000852592,0.02264,0,31277056,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c
0,0,0,1,18,0.047463407001487212,0.031255999999999999,0.015823999999999998,41132032,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,0,1,0,18,0.047722289997182088,0.039518999999999999,0.0080029999999999997,41152512,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,0,0,0,22,0.10650091100251302,0.085765999999999995,0.020480999999999999,58478592,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,0,1,1,22,0.10815416200057371,0.092146999999999993,0.015583,57561088,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,0,0,1,23,0.13249696999992011,0.099257999999999999,0.032901,58355712,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,0,1,0,23,0.13370925999697647,0.11325299999999999,0.020059,58671104,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623
0,0,0,0,19,0.051452181000058772,0.039267999999999997,0.011883999999999999,40931328,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,0,1,1,19,0.052219362998584984,0.038918000000000001,0.012990999999999999,41025536,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc
0,0,0,1,13,0.028538141999888467,0.019168999999999999,0.0091559999999999992,32407552,NA,NA,NA,NA,NA,NA,NA,NA,313536,280189,4101,1,5a04cd3dab823e43a4d317f4a27057eec5b1fcaecf9843229a14a897b95f1f29
0,0,1,0,13,0.024455094000586541,0.015869999999999999,0.0083759999999999998,32423936,NA,NA,NA,NA,NA,NA,NA,NA,313536,280189,4101,1,5a04cd3dab823e43a4d317f4a27057eec5b1fcaecf9843229a14a897b95f1f29
0,0,0,1,14,0.02349971299918252,0.019341000000000001,0.0038599999999999997,32292864,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,0,1,0,14,0.022972735998337157,0.015049999999999999,0.0077459999999999994,31834112,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134
0,1,0,1,17,0.058706610998342512,0.046524999999999997,0.012012,41684992,NA,NA,NA,NA,NA,NA,NA,NA,1009296,235398,3329,64,46bbbc4439d5a1911d5728e76ba413a577b270d33a6d6f7287d5e66409ad1e95
0,1,1,0,17,0.056497239002055721,0.047968999999999998,0.0082719999999999998,41775104,NA,NA,NA,NA,NA,NA,NA,NA,1009296,235398,3329,64,46bbbc4439d5a1911d5728e76ba413a577b270d33a6d6f7287d5e66409ad1e95
0,1,0,0,0,0.014173645999107976,0.0077059999999999993,0.0039449999999999997,24784896,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a
