workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256
shallow-64,timing,5,False,after,13135199,8931000,3993000,58004,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,5,False,before,12642361,8645000,3818000,58136,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,6,False,before,13134939,9996000,3005000,57844,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,6,False,after,12740473,7704000,4820000,57820,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,7,False,after,12941492,9815000,2944000,58208,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,7,False,before,13851916,10704000,2936000,57596,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,8,False,before,13797574,9733000,3886000,57512,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,8,False,after,13543105,9239000,4118000,58264,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,0,False,before,,,,,100536220,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,0,False,after,,,,,100547995,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,1,False,after,,,,,100547746,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,1,False,before,,,,,100536273,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,2,False,before,,,,,100535802,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,counter,2,False,after,,,,,100547412,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
full-compiler,timing,-2,True,before,1569840757,1460742000,101595000,1844496,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,-2,True,after,1986454147,1873787000,104311000,1820364,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,-1,True,after,2230609086,2096910000,117427000,1820120,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,-1,True,before,2346740270,1809150000,110409000,1844208,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,0,False,before,2084427735,1969298000,105335000,1844180,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,0,False,after,1999114139,1881548000,107392000,1820128,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,1,False,after,2089631677,1970783000,109320000,1820052,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,1,False,before,2228035220,2087033000,130270000,1844180,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
full-compiler,timing,2,False,before,2154585401,2024969000,117280000,1844524,,e103845ba8e74e40f55041de20100b0b99db636ae28687b2f5b8e2e33d99cda6
