workload,pair,mode,elapsed_ns,cpu_seconds,user_seconds,system_seconds,rss_kib,output_bytes,output_sha256,instructions:u,cycles:u,task-clock:u,minor_faults,major_faults
operations,45,direct,18875599,0.018435,0.0136,0.004835,60496,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572740.0,44834751.0,17.79,958,0
operations,45,reference,18749956,0.018313,0.013482,0.004830999999999999,60704,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472556.0,44757020.0,18.05,507,0
operations,46,reference,18597529,0.018210999999999998,0.013151,0.005059999999999999,60780,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472580.0,44964462.0,17.51,960,0
operations,46,direct,22800591,0.022255999999999998,0.015196,0.0070599999999999994,60600,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573281.0,46837168.0,18.31,960,0
operations,47,direct,18840374,0.018396,0.015352,0.003044,60772,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572730.0,46718375.0,17.03,958,0
operations,47,reference,18620697,0.018112,0.014096,0.004016,60776,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472771.0,47978381.0,17.91,511,0
functions,-2,reference,46620691,0.046036,0.038076,0.00796,122340,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371112.0,131620770.0,45.7,540,0
functions,-2,direct,46142935,0.045542,0.037626,0.007916,124068,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407873.0,124246150.0,43.76,985,0
functions,-1,direct,49201171,0.048659,0.040722,0.007937,124288,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408135.0,166597910.0,60.39,539,0
functions,-1,reference,48632206,0.048004,0.039226,0.008778,121972,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371421.0,131655186.0,47.55,984,0
functions,0,reference,46277631,0.04569,0.036786,0.008904,122076,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371099.0,132434646.0,46.77,1008,0
functions,0,direct,44339314,0.04385,0.035913,0.007937,124212,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407748.0,124543142.0,43.72,990,0
functions,1,direct,44978881,0.04440399999999999,0.039487999999999995,0.004915999999999999,124348,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408033.0,131974426.0,45.54,539,0
functions,1,reference,46503117,0.045878,0.037153,0.008725,122380,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371575.0,130670345.0,44.45,988,0
functions,2,direct,49403132,0.048832999999999994,0.040868999999999996,0.007963999999999999,124456,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408077.0,134877766.0,46.05,536,0
functions,2,reference,46815463,0.04619499999999999,0.037177999999999996,0.009016999999999999,122196,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371402.0,130737183.0,44.89,985,0
functions,3,reference,44855894,0.044251,0.036208,0.008043,122012,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337369100.0,132802827.0,45.24,982,0
functions,3,direct,45999078,0.045387000000000004,0.038502,0.006885,124108,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408030.0,130515305.0,43.63,1002,0
functions,4,direct,45494989,0.044917,0.039960999999999997,0.0049559999999999995,124444,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408026.0,127637934.0,42.59,538,0
functions,4,reference,44554316,0.04406399999999999,0.035068999999999996,0.008995,122292,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337372045.0,131858501.0,44.48,991,0
functions,5,reference,48904678,0.048319,0.042267,0.006052,122676,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371549.0,142614610.0,48.96,538,0
functions,5,direct,46495036,0.045960999999999995,0.037964,0.007996999999999999,124032,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408125.0,132465698.0,46.8,987,0
functions,6,direct,46176098,0.04566,0.038762,0.006898,124480,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407345.0,127537232.0,43.47,543,0
functions,6,reference,44471267,0.04395299999999999,0.035990999999999995,0.007962,122400,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371615.0,130935370.0,44.07,987,0
functions,7,reference,44042987,0.043351,0.034482,0.008869,122288,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371582.0,130002013.0,43.6,990,0
functions,7,direct,44424940,0.043855,0.036878,0.006977,124316,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333434541.0,125125738.0,41.54,989,0
functions,8,reference,47117612,0.04646,0.040534,0.005926,121924,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371548.0,135452852.0,46.63,981,0
functions,8,direct,45208166,0.044671999999999996,0.036746999999999995,0.007925,124212,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333397586.0,125148849.0,44.66,988,0
functions,9,direct,46546305,0.045665,0.037759,0.007906,124164,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407557.0,131354262.0,44.86,988,0
functions,9,reference,45827739,0.045288,0.038431,0.006856999999999999,121972,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337361430.0,133090461.0,45.58,981,0
functions,10,reference,45602628,0.04510399999999999,0.034353999999999996,0.01075,122248,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371254.0,131573832.0,43.83,984,0
functions,10,direct,43905940,0.043325999999999996,0.03646,0.006866,124704,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333408018.0,139432087.0,46.51,541,0
functions,11,direct,47520092,0.046946999999999996,0.03396,0.012986999999999999,124044,1296576,613493185fe766c597769b4ca31c547eea480747cf91b60eca7c2e4e3cb1d12d,333407978.0,133949699.0,45.95,988,0
functions,11,reference,46717498,0.046074,0.040061,0.006013,122292,1296576,f1ce45339cf50b5fe237f26e58b61bc07d89f0669af62cce5425a12ee62fb2fc,337371807.0,127510770.0,46.51,991,0
